SpeciesName_match,n_sites,cor_VPD_dorsal,cor_VPD_ventral,cor_SM_dorsal,cor_SM_ventral
Chlaenius aestivus,4,1,0.4,0.2,0.8
Pasimachus elongatus,4,0.2,0,0.4,-0.4
Synuchus impunctatus,4,0.4,0.8,0.8,0.4
Poecilus lucublandus,3,-1,0.5,0.5,0.5
Pterostichus melanarius,3,0.5,1,1,0.5
Brachinus alternans,2,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,0.9999999999999998
Carabus nemoralis,2,0.9999999999999998,0.9999999999999998,-0.9999999999999998,-0.9999999999999998
Cyclotrachelus torvus,2,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
Cymindis neglecta,2,0.9999999999999998,-0.9999999999999998,-0.9999999999999998,0.9999999999999998
Pasimachus californicus,2,0.9999999999999998,0.9999999999999998,-0.9999999999999998,-0.9999999999999998
Pterostichus coracinus,2,-0.9999999999999998,0.9999999999999998,-0.9999999999999998,0.9999999999999998
Pterostichus sculptus,2,-0.9999999999999998,0.9999999999999998,-0.9999999999999998,0.9999999999999998
Pterostichus stygicus,2,0.9999999999999998,0.9999999999999998,-0.9999999999999998,-0.9999999999999998
Selenophorus planipennis,2,0.9999999999999998,-0.9999999999999998,0.9999999999999998,-0.9999999999999998
